state,year,crop,rainfall_mm,avg_temp_c,min_temp_c,max_temp_c,humidity_pct,solar_radiation,nitrogen_n,phosphorus_p,potassium_k,soil_ph,fertilizer_kg_ha,pesticide_kg_ha,area_harvested_ha,yield_kg_ha,source
Yobe,2023,Sweet potatoes,406.07,28.53,21.87,36.21,40.3,21.27,54.1,31.9,24.0,6.25,113.2,4.08,48632.25,1719.16,Nigeria_Synthesized_FAO_NASA
Zamfara,2023,Sweet potatoes,540.96,26.93,20.75,34.3,46.38,21.09,45.0,31.6,26.3,6.38,114.4,2.77,28800.63,1986.2,Nigeria_Synthesized_FAO_NASA
Abia,2024,Sweet potatoes,1371.1,26.26,22.98,30.44,83.64,16.73,46.8,31.1,25.2,5.94,62.8,5.38,50685.17,2897.83,Nigeria_Synthesized_FAO_NASA
Adamawa,2024,Sweet potatoes,935.61,28.37,22.56,34.94,52.06,20.19,51.2,30.0,24.0,5.96,72.7,2.19,45882.34,2140.3,Nigeria_Synthesized_FAO_NASA
Akwa Ibom,2024,Sweet potatoes,1887.73,26.7,24.02,30.21,85.14,16.73,49.2,27.3,25.4,6.23,46.2,8.13,39148.72,3329.89,Nigeria_Synthesized_FAO_NASA
Anambra,2024,Sweet potatoes,1360.79,26.34,22.94,30.45,82.05,17.55,45.0,32.3,22.6,6.36,68.9,6.8,49488.27,2819.19,Nigeria_Synthesized_FAO_NASA
Bauchi,2024,Sweet potatoes,1109.06,26.3,20.35,33.25,52.28,20.55,52.7,27.4,27.1,5.92,78.3,6.7,30297.01,2413.48,Nigeria_Synthesized_FAO_NASA
Bayelsa,2024,Sweet potatoes,1913.76,26.75,24.06,30.28,85.78,15.55,52.6,31.7,27.1,6.12,80.5,4.36,33879.2,3436.85,Nigeria_Synthesized_FAO_NASA
Benue,2024,Sweet potatoes,1021.39,27.15,22.6,32.57,67.47,18.62,48.4,29.6,24.5,6.33,113.4,6.33,46947.12,2207.01,Nigeria_Synthesized_FAO_NASA
Borno,2024,Sweet potatoes,583.5,28.57,22.0,36.05,40.59,20.7,51.4,27.4,23.0,5.91,76.5,7.37,47636.8,1799.43,Nigeria_Synthesized_FAO_NASA
Cross River,2024,Sweet potatoes,1887.73,26.7,24.02,30.21,85.14,15.26,54.1,32.0,25.8,6.06,49.4,2.1,37965.73,3386.88,Nigeria_Synthesized_FAO_NASA
Delta,2024,Sweet potatoes,1360.79,26.34,22.94,30.45,82.05,16.99,50.5,27.4,23.2,6.0,90.6,6.0,35724.16,2822.86,Nigeria_Synthesized_FAO_NASA
Ebonyi,2024,Sweet potatoes,905.76,27.86,23.42,33.37,68.7,18.04,48.7,27.6,23.6,6.45,118.4,6.21,34693.63,2008.92,Nigeria_Synthesized_FAO_NASA
Edo,2024,Sweet potatoes,1389.25,26.08,22.92,30.06,85.46,16.41,45.3,33.0,23.0,6.31,60.2,4.55,44296.05,3254.26,Nigeria_Synthesized_FAO_NASA
Ekiti,2024,Sweet potatoes,1380.98,25.04,21.44,29.48,81.98,17.4,47.5,29.0,24.2,6.48,103.9,4.98,39246.74,3003.87,Nigeria_Synthesized_FAO_NASA
Enugu,2024,Sweet potatoes,980.36,26.81,22.68,31.9,73.62,17.55,46.6,28.3,24.3,6.44,50.5,2.79,48415.57,2095.63,Nigeria_Synthesized_FAO_NASA
FCT Abuja,2024,Sweet potatoes,1182.97,26.46,21.44,32.59,64.55,18.82,50.7,29.7,24.7,5.96,51.3,7.34,35327.91,2625.73,Nigeria_Synthesized_FAO_NASA
Gombe,2024,Sweet potatoes,1511.27,26.9,21.14,33.62,54.02,20.46,46.1,27.3,25.5,6.33,69.8,6.42,34306.39,3612.8,Nigeria_Synthesized_FAO_NASA
Imo,2024,Sweet potatoes,1626.91,26.48,23.28,30.5,84.2,16.73,45.6,28.2,22.8,6.43,103.4,5.74,51459.19,3586.21,Nigeria_Synthesized_FAO_NASA
Jigawa,2024,Sweet potatoes,1025.51,26.63,20.09,34.46,47.2,20.69,48.0,30.4,23.8,5.94,98.5,3.94,35252.06,2137.67,Nigeria_Synthesized_FAO_NASA
Kaduna,2024,Sweet potatoes,1925.09,24.21,19.05,30.7,65.0,19.62,53.0,30.4,27.0,6.2,115.3,7.8,31686.52,3203.53,Nigeria_Synthesized_FAO_NASA
Kano,2024,Sweet potatoes,1009.62,26.18,19.59,34.33,48.56,20.93,48.2,29.2,22.7,6.26,97.8,7.03,51423.72,2251.18,Nigeria_Synthesized_FAO_NASA
Katsina,2024,Sweet potatoes,1294.93,25.85,19.99,32.56,50.33,20.6,46.8,31.0,23.3,6.45,58.5,3.89,39434.56,2665.29,Nigeria_Synthesized_FAO_NASA
Kebbi,2024,Sweet potatoes,2228.6,27.02,21.27,34.01,56.38,20.48,45.2,30.0,22.9,6.5,87.0,3.67,39784.84,3718.57,Nigeria_Synthesized_FAO_NASA
Kogi,2024,Sweet potatoes,918.5,27.23,22.62,32.55,69.54,17.95,53.0,32.6,26.9,6.1,66.1,2.23,30442.9,2080.97,Nigeria_Synthesized_FAO_NASA
Kwara,2024,Sweet potatoes,1259.82,25.8,21.29,31.26,74.74,18.15,49.6,32.4,23.3,5.9,45.9,3.45,41656.1,2809.11,Nigeria_Synthesized_FAO_NASA
Lagos,2024,Sweet potatoes,1382.65,27.05,25.19,29.33,84.49,16.86,48.1,28.1,26.3,6.02,95.0,4.27,40871.21,2884.98,Nigeria_Synthesized_FAO_NASA
Nasarawa,2024,Sweet potatoes,1082.75,28.0,23.22,33.88,60.44,18.97,45.4,30.0,26.8,6.25,62.1,4.58,51423.07,2376.34,Nigeria_Synthesized_FAO_NASA
Niger,2024,Sweet potatoes,926.85,27.69,22.24,33.83,63.71,18.72,45.4,27.4,24.1,6.03,61.2,3.44,50369.04,2108.93,Nigeria_Synthesized_FAO_NASA
Ogun,2024,Sweet potatoes,1383.59,26.28,23.01,30.33,84.74,16.62,54.3,27.9,23.5,6.04,114.6,6.91,31758.92,2908.33,Nigeria_Synthesized_FAO_NASA
Ondo,2024,Sweet potatoes,1380.98,25.04,21.44,29.48,81.98,17.4,53.4,29.4,23.8,6.25,105.8,7.06,31125.7,3071.39,Nigeria_Synthesized_FAO_NASA
Osun,2024,Sweet potatoes,1552.21,25.25,21.3,29.96,80.5,16.59,47.4,29.5,22.6,6.44,52.4,7.6,51282.68,3528.63,Nigeria_Synthesized_FAO_NASA
Oyo,2024,Sweet potatoes,1674.52,25.69,22.07,30.01,84.02,16.62,45.4,29.0,26.9,5.91,72.5,2.2,37573.38,3292.15,Nigeria_Synthesized_FAO_NASA
Plateau,2024,Sweet potatoes,1740.79,23.31,17.86,30.2,58.55,18.87,47.5,32.3,24.7,6.06,87.1,2.92,32787.52,3068.3,Nigeria_Synthesized_FAO_NASA
Rivers,2024,Sweet potatoes,1796.83,26.6,23.57,30.6,85.73,15.17,47.4,31.1,25.0,6.37,115.9,2.75,41933.79,3346.73,Nigeria_Synthesized_FAO_NASA
Sokoto,2024,Sweet potatoes,1403.83,26.96,21.08,33.83,53.46,20.92,46.5,31.9,26.3,6.19,83.0,2.39,36383.98,3082.75,Nigeria_Synthesized_FAO_NASA
Taraba,2024,Sweet potatoes,1137.38,27.76,22.3,34.06,57.28,19.35,50.7,28.6,25.8,6.11,83.6,5.17,47933.91,2532.31,Nigeria_Synthesized_FAO_NASA
Yobe,2024,Sweet potatoes,931.33,27.61,21.32,34.81,45.09,21.08,53.8,27.0,27.2,6.21,96.1,7.56,46159.94,2025.51,Nigeria_Synthesized_FAO_NASA
Zamfara,2024,Sweet potatoes,714.1,26.35,20.36,33.59,49.36,20.63,46.8,28.0,25.8,6.43,111.4,6.18,49002.08,1850.22,Nigeria_Synthesized_FAO_NASA
Abia,2019,Tomatoes,2019.69,25.82,22.82,29.42,86.11,16.27,54.8,28.9,26.2,6.22,88.7,4.56,21934.29,4327.0,Nigeria_Synthesized_FAO_NASA
Adamawa,2019,Tomatoes,960.01,27.76,22.27,33.74,56.41,20.28,54.4,27.0,25.4,6.33,99.6,7.88,25452.56,2886.43,Nigeria_Synthesized_FAO_NASA
Akwa Ibom,2019,Tomatoes,2231.91,26.29,23.81,29.49,86.47,16.27,49.7,27.2,27.4,6.03,77.8,2.4,17086.93,4025.71,Nigeria_Synthesized_FAO_NASA
Anambra,2019,Tomatoes,2330.26,25.85,22.81,29.34,85.38,17.04,45.4,29.0,24.5,6.5,56.6,5.54,22645.34,4328.67,Nigeria_Synthesized_FAO_NASA
Bauchi,2019,Tomatoes,867.4,26.58,20.84,33.37,51.51,20.5,54.9,32.8,24.9,6.32,48.8,4.87,28678.69,2644.03,Nigeria_Synthesized_FAO_NASA
Bayelsa,2019,Tomatoes,3319.11,26.16,23.71,29.38,87.88,15.0,52.0,31.5,23.8,6.43,76.8,3.37,24481.12,4570.32,Nigeria_Synthesized_FAO_NASA
Benue,2019,Tomatoes,1023.91,26.98,22.72,32.08,71.9,18.06,52.5,30.3,24.4,6.39,86.8,4.54,23199.72,3101.89,Nigeria_Synthesized_FAO_NASA
Borno,2019,Tomatoes,545.89,28.54,22.01,35.97,40.71,21.14,45.4,32.2,24.3,6.29,113.8,2.99,30193.03,2151.16,Nigeria_Synthesized_FAO_NASA
Cross River,2019,Tomatoes,2231.91,26.29,23.81,29.49,86.47,15.4,52.6,30.2,25.6,6.36,107.3,6.95,28274.77,4419.26,Nigeria_Synthesized_FAO_NASA
Delta,2019,Tomatoes,2330.26,25.85,22.81,29.34,85.38,16.34,49.3,27.1,24.3,5.97,49.7,3.83,31675.97,4212.69,Nigeria_Synthesized_FAO_NASA
Ebonyi,2019,Tomatoes,1142.89,26.36,22.7,30.77,79.82,17.53,45.7,28.2,23.0,5.93,61.4,5.72,27163.16,2980.8,Nigeria_Synthesized_FAO_NASA
Edo,2019,Tomatoes,2626.04,25.64,22.8,29.18,88.29,15.76,53.8,28.1,23.8,5.94,102.3,2.45,29901.83,4603.91,Nigeria_Synthesized_FAO_NASA
Ekiti,2019,Tomatoes,2325.44,24.63,21.43,28.64,85.23,16.92,47.4,32.9,26.3,6.41,85.8,7.66,20711.44,4187.58,Nigeria_Synthesized_FAO_NASA
Enugu,2019,Tomatoes,1601.35,25.72,22.28,29.72,82.47,17.04,47.8,30.6,26.0,6.13,110.4,8.37,30935.79,4396.03,Nigeria_Synthesized_FAO_NASA
FCT Abuja,2019,Tomatoes,1302.2,26.23,21.5,31.88,67.06,18.58,49.7,32.1,25.7,5.92,83.4,2.11,22801.78,3639.51,Nigeria_Synthesized_FAO_NASA
Gombe,2019,Tomatoes,1233.79,26.8,21.28,33.1,55.76,20.71,49.7,31.8,22.7,5.99,71.8,3.49,21889.18,3668.69,Nigeria_Synthesized_FAO_NASA
Imo,2019,Tomatoes,2559.56,26.01,23.05,29.59,86.4,16.27,53.3,32.3,27.2,6.1,63.8,3.52,31697.17,4222.46,Nigeria_Synthesized_FAO_NASA
Jigawa,2019,Tomatoes,485.81,27.58,20.91,35.54,41.33,20.87,47.4,29.3,25.0,6.22,111.1,4.47,27031.96,2488.61,Nigeria_Synthesized_FAO_NASA
Kaduna,2019,Tomatoes,1623.16,24.48,19.33,30.82,63.85,19.89,52.5,32.6,27.0,5.93,56.5,5.1,23544.52,4399.77,Nigeria_Synthesized_FAO_NASA
Kano,2019,Tomatoes,517.4,27.07,20.35,35.28,43.11,21.48,54.4,27.7,24.8,6.01,111.5,8.27,26465.91,2374.28,Nigeria_Synthesized_FAO_NASA
Katsina,2019,Tomatoes,702.35,26.88,20.7,33.83,42.66,21.26,52.9,31.2,24.3,6.44,118.1,5.63,18605.0,2388.79,Nigeria_Synthesized_FAO_NASA
Kebbi,2019,Tomatoes,975.0,27.47,21.57,34.45,51.71,21.15,50.8,29.6,24.0,5.93,60.2,3.29,21438.23,2781.82,Nigeria_Synthesized_FAO_NASA
Kogi,2019,Tomatoes,1251.26,27.25,22.95,32.23,71.52,17.31,51.1,29.3,24.6,6.41,78.1,8.42,25891.63,3580.45,Nigeria_Synthesized_FAO_NASA
Kwara,2019,Tomatoes,1645.89,25.35,21.41,30.21,78.48,18.09,45.5,30.9,26.8,6.47,119.8,3.83,26593.13,4205.41,Nigeria_Synthesized_FAO_NASA
Lagos,2019,Tomatoes,1952.69,26.78,25.09,28.91,85.85,16.26,50.6,27.9,26.8,6.45,76.0,3.82,23681.42,4491.61,Nigeria_Synthesized_FAO_NASA
Nasarawa,2019,Tomatoes,938.12,27.98,23.38,33.58,62.16,18.38,48.1,32.5,25.9,6.29,84.8,2.3,27093.65,2457.78,Nigeria_Synthesized_FAO_NASA
Niger,2019,Tomatoes,1226.48,26.93,22.01,32.45,68.58,18.47,54.9,30.2,26.1,5.92,90.5,6.97,26276.24,3747.28,Nigeria_Synthesized_FAO_NASA
Ogun,2019,Tomatoes,1932.32,26.05,23.09,29.76,86.83,16.7,47.3,32.9,27.5,5.94,114.9,3.88,28357.92,4533.67,Nigeria_Synthesized_FAO_NASA
Ondo,2019,Tomatoes,2325.44,24.63,21.43,28.64,85.23,16.92,54.7,27.6,25.0,6.16,66.1,6.2,22032.65,4275.62,Nigeria_Synthesized_FAO_NASA
Osun,2019,Tomatoes,2184.61,24.92,21.46,29.14,83.53,16.53,54.8,31.8,26.8,6.11,66.0,5.36,27575.33,3941.53,Nigeria_Synthesized_FAO_NASA
Oyo,2019,Tomatoes,2257.17,25.43,22.21,29.34,86.49,16.7,46.4,32.4,22.9,6.4,52.2,2.25,30923.84,3947.73,Nigeria_Synthesized_FAO_NASA
Plateau,2019,Tomatoes,1166.1,23.54,18.25,30.23,58.25,18.6,52.1,30.3,23.0,6.47,76.2,6.77,21185.69,3097.98,Nigeria_Synthesized_FAO_NASA
Rivers,2019,Tomatoes,3286.85,26.06,23.24,29.71,87.68,15.01,48.0,28.2,25.2,6.16,71.2,6.37,25931.04,4342.3,Nigeria_Synthesized_FAO_NASA
Sokoto,2019,Tomatoes,1088.13,27.34,21.33,34.05,48.97,21.64,48.4,29.5,23.0,6.04,44.1,8.48,17754.45,3178.45,Nigeria_Synthesized_FAO_NASA
Taraba,2019,Tomatoes,982.97,27.29,22.23,33.11,61.02,19.1,45.2,31.3,24.7,6.38,113.9,5.9,18362.53,2896.19,Nigeria_Synthesized_FAO_NASA
Yobe,2019,Tomatoes,776.03,27.41,21.34,34.46,46.98,21.13,54.6,30.5,25.9,6.1,70.5,6.78,28534.83,2257.08,Nigeria_Synthesized_FAO_NASA
Zamfara,2019,Tomatoes,738.05,26.25,20.33,33.26,49.44,21.28,52.9,28.0,23.6,6.22,54.1,6.13,26291.62,2512.44,Nigeria_Synthesized_FAO_NASA
Abia,2020,Tomatoes,2029.78,25.76,22.57,29.63,85.2,16.76,53.1,29.8,23.4,6.29,119.4,6.05,29795.17,4371.55,Nigeria_Synthesized_FAO_NASA
Adamawa,2020,Tomatoes,982.6,27.15,21.49,33.42,57.83,20.76,48.2,28.2,26.6,6.41,60.7,4.12,18014.67,2726.45,Nigeria_Synthesized_FAO_NASA
Akwa Ibom,2020,Tomatoes,2982.8,26.24,23.63,29.59,86.16,16.76,50.0,30.9,24.6,6.28,70.9,4.21,31573.11,4396.24,Nigeria_Synthesized_FAO_NASA
Anambra,2020,Tomatoes,2228.5,25.76,22.46,29.53,84.05,17.58,47.9,27.9,24.3,6.15,90.3,7.94,26744.89,4619.61,Nigeria_Synthesized_FAO_NASA
Bauchi,2020,Tomatoes,2013.76,24.95,19.31,31.5,59.51,20.92,46.9,30.0,24.6,6.34,59.4,5.86,21458.97,4081.03,Nigeria_Synthesized_FAO_NASA
Bayelsa,2020,Tomatoes,3495.17,26.08,23.46,29.46,87.47,15.56,54.6,31.6,27.0,6.04,55.8,2.04,31608.03,4847.91,Nigeria_Synthesized_FAO_NASA
Benue,2020,Tomatoes,1209.6,26.41,22.11,31.55,72.34,18.7,46.9,30.8,26.2,6.47,91.7,8.31,32015.65,3695.94,Nigeria_Synthesized_FAO_NASA
Borno,2020,Tomatoes,545.45,28.06,21.39,35.6,42.48,21.41,50.4,29.3,22.5,6.34,100.1,6.86,23075.9,2387.89,Nigeria_Synthesized_FAO_NASA
Cross River,2020,Tomatoes,2982.8,26.24,23.63,29.59,86.16,15.31,48.6,27.1,25.3,5.97,46.4,6.91,25698.47,4476.12,Nigeria_Synthesized_FAO_NASA
Delta,2020,Tomatoes,2228.5,25.76,22.46,29.53,84.05,16.94,50.2,32.9,22.8,6.25,67.9,7.48,32343.41,4167.39,Nigeria_Synthesized_FAO_NASA
Ebonyi,2020,Tomatoes,1251.59,26.36,22.44,31.15,77.86,18.1,53.6,29.2,22.6,6.13,92.4,3.65,21715.0,3614.01,Nigeria_Synthesized_FAO_NASA
Edo,2020,Tomatoes,2111.49,25.46,22.36,29.3,87.0,16.43,50.9,31.5,24.6,6.15,47.1,3.31,18614.48,4431.28,Nigeria_Synthesized_FAO_NASA
Ekiti,2020,Tomatoes,1688.06,24.44,20.97,28.85,83.66,17.35,50.3,32.7,22.9,6.26,82.1,5.36,25080.69,4096.71,Nigeria_Synthesized_FAO_NASA
Enugu,2020,Tomatoes,1630.95,25.64,21.91,30.0,80.61,17.58,45.4,31.0,24.2,5.9,60.1,4.01,20878.92,4774.39,Nigeria_Synthesized_FAO_NASA
FCT Abuja,2020,Tomatoes,1389.91,25.33,20.59,31.05,70.06,19.24,49.1,29.9,24.8,6.49,43.6,8.18,20377.52,4049.55,Nigeria_Synthesized_FAO_NASA
Gombe,2020,Tomatoes,1610.11,25.46,19.91,31.96,61.65,21.05,49.3,29.7,26.9,6.45,59.1,3.3,29859.0,4538.76,Nigeria_Synthesized_FAO_NASA
Imo,2020,Tomatoes,2537.08,25.96,22.78,29.79,85.46,16.76,48.2,30.9,26.0,6.37,85.1,4.62,31449.78,4547.74,Nigeria_Synthesized_FAO_NASA
Jigawa,2020,Tomatoes,1348.11,26.04,19.53,33.9,50.64,21.0,52.3,29.1,25.8,6.05,59.6,6.65,27053.29,4236.71,Nigeria_Synthesized_FAO_NASA
Kaduna,2020,Tomatoes,3398.52,23.14,18.43,29.08,70.9,20.28,47.7,30.6,24.7,6.26,63.3,6.65,28147.99,4167.33,Nigeria_Synthesized_FAO_NASA
Kano,2020,Tomatoes,1291.71,25.59,19.15,33.6,52.35,21.5,48.0,31.0,26.0,6.33,94.6,4.55,21706.31,3907.04,Nigeria_Synthesized_FAO_NASA
Katsina,2020,Tomatoes,1539.75,25.3,19.52,31.74,53.57,21.05,46.6,31.2,23.0,6.47,106.1,7.57,21628.73,4325.6,Nigeria_Synthesized_FAO_NASA
Kebbi,2020,Tomatoes,1131.67,26.83,21.14,33.82,56.95,20.69,53.5,27.9,22.6,6.38,46.0,8.43,23968.69,3610.56,Nigeria_Synthesized_FAO_NASA
Kogi,2020,Tomatoes,1391.1,26.62,22.18,31.74,72.68,17.84,47.5,31.0,22.7,6.41,53.6,6.53,29215.71,4256.54,Nigeria_Synthesized_FAO_NASA
Kwara,2020,Tomatoes,1204.71,25.26,20.98,30.59,76.31,18.29,49.8,28.0,26.1,6.04,67.4,5.69,18793.08,3286.38,Nigeria_Synthesized_FAO_NASA
Lagos,2020,Tomatoes,1510.91,26.41,24.55,28.78,85.34,16.91,53.2,28.1,22.9,6.09,74.0,5.53,23502.84,4314.96,Nigeria_Synthesized_FAO_NASA
Nasarawa,2020,Tomatoes,1078.68,27.24,22.6,32.97,63.62,19.25,45.4,29.6,24.4,6.29,117.3,5.32,29770.5,3158.61,Nigeria_Synthesized_FAO_NASA
Niger,2020,Tomatoes,1309.13,26.28,21.2,32.07,70.38,18.94,45.3,28.0,24.5,6.09,47.8,4.81,22350.43,4156.97,Nigeria_Synthesized_FAO_NASA
Ogun,2020,Tomatoes,1525.8,25.74,22.52,29.83,85.71,16.87,48.0,32.3,24.0,6.33,89.0,4.78,19617.25,4305.91,Nigeria_Synthesized_FAO_NASA
Ondo,2020,Tomatoes,1688.06,24.44,20.97,28.85,83.66,17.35,50.9,29.1,23.6,5.96,110.4,4.86,23366.31,4155.23,Nigeria_Synthesized_FAO_NASA
Osun,2020,Tomatoes,1523.34,24.79,21.01,29.45,81.59,16.86,53.7,30.3,24.9,6.46,97.6,2.73,25213.41,4368.35,Nigeria_Synthesized_FAO_NASA
Oyo,2020,Tomatoes,1568.36,25.24,21.73,29.6,84.71,16.87,53.4,30.3,25.3,6.28,75.1,6.42,29728.07,4219.6,Nigeria_Synthesized_FAO_NASA
Plateau,2020,Tomatoes,3385.52,22.35,17.41,28.56,63.84,19.39,52.5,30.8,24.1,5.99,72.7,6.3,32377.96,3788.6,Nigeria_Synthesized_FAO_NASA
Rivers,2020,Tomatoes,3361.46,26.04,23.03,29.87,87.03,15.21,51.1,31.9,22.6,6.17,100.7,5.55,23573.64,4659.35,Nigeria_Synthesized_FAO_NASA
Sokoto,2020,Tomatoes,1145.58,26.35,20.64,33.04,56.06,21.49,54.9,27.3,25.0,5.95,52.8,4.49,25613.07,3463.95,Nigeria_Synthesized_FAO_NASA
Taraba,2020,Tomatoes,1075.73,26.37,21.19,32.39,64.01,19.69,54.5,29.0,25.7,6.22,105.2,6.08,32414.6,3002.58,Nigeria_Synthesized_FAO_NASA
Yobe,2020,Tomatoes,792.26,26.9,20.63,34.19,48.36,21.55,52.5,30.1,27.0,6.45,81.9,5.95,29363.68,2319.96,Nigeria_Synthesized_FAO_NASA
Zamfara,2020,Tomatoes,1146.34,25.26,19.6,32.14,55.83,20.88,48.2,28.1,27.0,6.35,48.5,8.38,22298.25,3531.25,Nigeria_Synthesized_FAO_NASA
Abia,2021,Tomatoes,1877.25,25.78,22.8,29.53,86.39,16.48,45.5,30.0,26.0,6.23,93.3,7.32,30390.25,4861.82,Nigeria_Synthesized_FAO_NASA
Adamawa,2021,Tomatoes,945.3,27.6,21.95,33.88,56.24,20.8,46.6,28.6,22.7,6.12,70.4,7.23,30362.32,2837.71,Nigeria_Synthesized_FAO_NASA
Akwa Ibom,2021,Tomatoes,2456.61,26.21,23.74,29.42,87.15,16.48,51.5,27.3,23.4,6.28,91.3,7.03,24156.09,4867.75,Nigeria_Synthesized_FAO_NASA
Anambra,2021,Tomatoes,2208.72,25.78,22.8,29.34,86.04,17.38,51.8,32.8,23.6,6.23,88.1,8.49,28462.33,4615.79,Nigeria_Synthesized_FAO_NASA
Bauchi,2021,Tomatoes,3305.27,25.04,19.49,31.42,60.49,21.27,48.5,30.2,23.7,5.92,85.8,4.18,25459.2,4361.52,Nigeria_Synthesized_FAO_NASA
Bayelsa,2021,Tomatoes,3490.5,26.11,23.68,29.29,88.5,15.38,45.5,32.7,25.4,6.4,73.8,7.87,22456.88,4495.69,Nigeria_Synthesized_FAO_NASA
Benue,2021,Tomatoes,1524.55,26.51,22.31,31.46,73.01,18.37,49.9,31.4,25.3,6.06,51.6,5.94,26223.44,4673.67,Nigeria_Synthesized_FAO_NASA
Borno,2021,Tomatoes,444.23,28.5,21.62,36.32,39.39,21.77,49.0,30.1,26.6,5.94,67.9,7.35,19022.52,2498.26,Nigeria_Synthesized_FAO_NASA
Cross River,2021,Tomatoes,2456.61,26.21,23.74,29.42,87.15,15.69,53.5,30.0,25.0,6.5,115.8,4.33,21944.99,4864.17,Nigeria_Synthesized_FAO_NASA
Delta,2021,Tomatoes,2208.72,25.78,22.8,29.34,86.04,16.78,45.3,27.1,24.5,6.47,109.7,5.32,22482.96,4418.93,Nigeria_Synthesized_FAO_NASA
Ebonyi,2021,Tomatoes,780.95,26.73,22.83,31.71,77.1,17.93,47.2,27.1,26.3,5.98,109.5,6.18,17665.98,2626.42,Nigeria_Synthesized_FAO_NASA
Edo,2021,Tomatoes,2357.05,25.6,22.85,29.07,89.16,16.34,51.3,32.4,26.1,6.11,87.0,4.02,19952.74,4460.44,Nigeria_Synthesized_FAO_NASA
Ekiti,2021,Tomatoes,2803.84,24.66,21.47,28.82,85.48,17.19,51.1,29.5,25.6,6.1,42.3,4.57,28858.33,4886.43,Nigeria_Synthesized_FAO_NASA
Enugu,2021,Tomatoes,1288.82,25.72,22.24,30.06,82.26,17.38,45.8,32.3,23.8,6.04,63.8,5.75,27012.21,4132.59,Nigeria_Synthesized_FAO_NASA
FCT Abuja,2021,Tomatoes,1369.92,25.61,20.82,31.36,68.57,19.4,52.2,28.9,26.4,6.0,102.6,6.31,24980.05,4124.76,Nigeria_Synthesized_FAO_NASA
Gombe,2021,Tomatoes,2221.85,25.9,20.36,32.35,60.63,21.29,51.7,27.5,26.8,5.92,51.9,5.75,24831.5,4844.03,Nigeria_Synthesized_FAO_NASA
Imo,2021,Tomatoes,2610.4,25.97,23.05,29.59,86.97,16.48,54.2,32.8,25.5,6.19,99.3,4.13,18725.36,4896.96,Nigeria_Synthesized_FAO_NASA
Jigawa,2021,Tomatoes,1693.73,25.93,19.29,33.69,51.02,21.81,54.6,32.6,23.8,6.03,63.8,4.87,31378.99,4705.38,Nigeria_Synthesized_FAO_NASA
Kaduna,2021,Tomatoes,6360.7,23.35,18.52,29.42,70.17,20.72,51.2,31.6,26.2,6.39,42.6,2.31,23214.34,4204.92,Nigeria_Synthesized_FAO_NASA
Kano,2021,Tomatoes,1845.71,25.31,18.75,33.21,53.87,22.26,50.8,27.3,23.8,6.29,108.7,7.96,25607.76,4833.85,Nigeria_Synthesized_FAO_NASA
Katsina,2021,Tomatoes,1784.49,25.63,19.61,32.47,49.51,21.82,53.3,30.2,25.1,6.45,103.2,7.91,25794.5,4666.97,Nigeria_Synthesized_FAO_NASA
Kebbi,2021,Tomatoes,925.26,27.38,21.34,34.71,52.95,21.44,53.4,27.7,26.5,6.0,104.6,5.98,25476.64,2724.96,Nigeria_Synthesized_FAO_NASA
Kogi,2021,Tomatoes,2024.23,26.62,22.46,31.48,74.62,17.63,51.8,30.8,24.6,6.45,81.5,5.29,24707.97,4575.06,Nigeria_Synthesized_FAO_NASA
Kwara,2021,Tomatoes,1764.69,25.68,21.46,30.92,74.97,18.45,46.8,30.2,26.5,6.02,82.2,3.56,31468.92,4346.6,Nigeria_Synthesized_FAO_NASA
Lagos,2021,Tomatoes,1713.6,26.77,25.1,28.92,85.31,16.64,53.6,32.4,25.7,6.34,83.9,4.5,26078.75,5033.92,Nigeria_Synthesized_FAO_NASA
Nasarawa,2021,Tomatoes,1517.79,27.2,22.63,32.72,64.83,19.03,49.2,28.9,24.4,6.16,45.9,5.24,31260.54,4818.13,Nigeria_Synthesized_FAO_NASA
Niger,2021,Tomatoes,1567.28,26.65,21.5,32.49,68.64,19.19,48.6,30.7,26.9,6.48,86.7,2.28,26441.87,4811.2,Nigeria_Synthesized_FAO_NASA
Ogun,2021,Tomatoes,1752.89,26.03,23.06,29.86,86.44,17.14,48.4,27.9,23.2,5.99,43.6,7.86,28210.85,5079.81,Nigeria_Synthesized_FAO_NASA
Ondo,2021,Tomatoes,2803.84,24.66,21.47,28.82,85.48,17.19,53.3,31.7,26.9,6.49,75.1,8.18,28121.92,4554.56,Nigeria_Synthesized_FAO_NASA
Osun,2021,Tomatoes,2545.61,25.1,21.46,29.67,82.03,16.81,51.8,31.1,27.0,6.12,86.8,2.08,18641.25,4753.24,Nigeria_Synthesized_FAO_NASA
Oyo,2021,Tomatoes,2405.57,25.45,22.18,29.58,85.99,17.14,50.2,31.9,23.5,6.22,56.3,2.78,18514.33,4515.7,Nigeria_Synthesized_FAO_NASA
Plateau,2021,Tomatoes,6143.64,22.42,17.47,28.63,64.07,19.45,50.9,27.2,23.0,6.23,87.3,2.19,18769.01,4205.38,Nigeria_Synthesized_FAO_NASA
Rivers,2021,Tomatoes,3286.06,26.06,23.27,29.7,88.29,15.22,52.2,27.8,25.5,6.31,43.0,7.56,30209.16,4784.96,Nigeria_Synthesized_FAO_NASA
